Region,Employment Status,Income,Number of Child(ren),Tax,Religion,Gender
West,Unemployed,731.82,2,39.66,Christianity,Male
East,Self Employed,243.54,9,18.72,Christianity,Female
West,Unemployed,346.32,3,14.1,Christianity,Male
West,Unemployed,169.68,4,11.01,Christianity,Male
East,Self Employed,203.88,4,5.72,Christianity,Female
North,Employed,4626.15,5,835.57,Islam,Male
West,Unemployed,2070.15,5,185.01,Christianity,Female
West,Employed,914.34,7,106.41,Islam,Male
West,Employed,1168.44,7,92.34,Christianity,Male
West,Employed,500.94,3,79.59,Islam,Female
West,Employed,1447.56,3,73.63,Christianity,Male
East,Self Employed,669.12,8,72.67,Islam,Female
West,Self Employed,427.41,3,60.91,Traditional,Male
West,Self Employed,417.42,6,58.04,Islam,Male
North,Employed,332.85,7,53.01,Islam,Female
North,Employed,267.09,1,50.01,Islam,Male
West,Self Employed,412.95,5,42.28,Traditional,Female
East,Self Employed,244.8,4,37.48,Islam,Male
North,Self Employed,219.78,2,36.24,Atheist,Male
West,Employed,848.4,5,33.88,Christianity,Female
North,Employed,83.4,4,21.21,Atheist,Male
West,Self Employed,162.54,2,21.05,Islam,Female
North,Self Employed,160.2,6,18.2,Christianity,Male
East,Unemployed,114.66,2,15.62,Islam,Male
West,Employed,122.4,2,14.18,Christianity,Female
East,Self Employed,61.56,6,12.51,Islam,Male
West,Employed,177.93,9,11,Christianity,Female
West,Employed,151.2,4,10.35,Christianity,Male
West,Self Employed,155.88,6,10.2,Christianity,Male
West,Unemployed,88.35,5,9.67,Traditional,Female
West,Employed,251.7,5,9.56,Christianity,Male
East,Self Employed,84.84,2,8.73,Islam,Female
West,Self Employed,69,2,6.94,Traditional,Male
West,Employed,78.66,6,6.58,Christianity,Male
West,Employed,55.98,2,5.11,Christianity,Female
West,Employed,79.47,3,4.94,Christianity,Male
West,Employed,64.5,5,4.51,Christianity,Female
West,Employed,37.71,3,4.22,Christianity,Male
West,Employed,29.85,1,3.23,Islam,Male
West,Employed,33.57,3,3.15,Christianity,Female
West,Employed,94.68,2,3.05,Christianity,Male
West,Employed,110.1,1,2.81,Christianity,Female
West,Unemployed,45.36,4,2.8,Christianity,Male
West,Self Employed,41.16,4,2.67,Traditional,Male
East,Self Employed,15.15,1,2.54,Islam,Female
East,Unemployed,13.86,1,1.61,Islam,Male
West,Employed,1470.78,6,70.16,Christianity,Female
West,Employed,131.58,3,9.39,Christianity,Male
West,Employed,122.76,4,6.49,Christianity,Male
West,Employed,141.9,5,4.37,Christianity,Female
West,Employed,712.35,5,49.27,Christianity,Male
West,Employed,231.15,5,26.95,Christianity,Female
West,Employed,127.05,11,5.2,Christianity,Male
West,Employed,76.14,3,4.54,Christianity,Male
West,Employed,13.26,2,1.14,Christianity,Female
North,Unemployed,553.92,4,206.56,Atheist,Male
West,Employed,58.17,1,5.35,Christianity,Female
East,Employed,1619.1,10,301.73,Islam,Male
West,Employed,33.18,2,1.96,Christianity,Male
West,Employed,28.23,1,1.94,Christianity,Female
West,Employed,15.75,1,1.64,Christianity,Male
South,Self Employed,182.07,1,59.24,Atheist,Female
East,Self Employed,173.7,6,28.56,Islam,Male
East,Self Employed,218.76,4,16.94,Islam,Male
East,Self Employed,18.75,1,2.72,Islam,Female
West,Employed,363.75,1,33.38,Christianity,Male
West,Self Employed,414.03,1,26.48,Christianity,Female
West,Employed,105.72,4,6.73,Christianity,Male
West,Employed,85.26,1,4.06,Christianity,Male
East,Employed,11.28,1,1.91,Islam,Female
West,Employed,6.45,1,1.37,Christianity,Male
South,Self Employed,613.26,2,241.33,Atheist,Female
North,Self Employed,1447.44,4,199.04,Christianity,Male
South,Self Employed,393.96,2,110.6,Atheist,Male
East,Unemployed,638.91,1,93.82,Islam,Female
East,Employed,1050.96,4,64.78,Christianity,Male
North,Self Employed,298.68,2,47.5,Islam,Female
East,Self Employed,538.44,4,40.92,Islam,Male
East,Self Employed,185.76,4,37.71,Islam,Male
South,Self Employed,199.2,2,33.05,Islam,Female
South,Self Employed,339.3,10,27.29,Atheist,Male
South,Employed,73.26,1,24.16,Atheist,Female
South,Self Employed,53.52,4,22.06,Atheist,Male
West,Self Employed,276.96,2,20.15,Christianity,Male
East,Unemployed,287.58,2,19.63,Christianity,Female
West,Employed,293.64,2,17.8,Christianity,Male
West,Self Employed,106.92,1,16.77,Islam,Female
East,Unemployed,116.31,1,15.42,Islam,Male
West,Employed,160.32,4,12.66,Christianity,Male
East,Self Employed,207.12,4,11.21,Christianity,Female
East,Self Employed,105.72,4,10.97,Islam,Male
West,Employed,52.08,2,10.76,Traditional,Female
East,Self Employed,90.3,2,9.63,Christianity,Male
West,Self Employed,113.28,1,9.51,Christianity,Male
South,Self Employed,116.04,2,9.32,Christianity,Female
East,Self Employed,83.4,2,9.28,Christianity,Male
East,Unemployed,98.94,2,6.73,Christianity,Female
East,Self Employed,51.78,1,6.05,Islam,Male
West,Employed,45.69,1,5.55,Traditional,Male
West,Self Employed,40.83,1,5.01,Traditional,Female
West,Self Employed,63.87,1,4.6,Christianity,Male
West,Employed,53.73,1,4.45,Christianity,Female
West,Employed,91.38,2,4.36,Christianity,Male
West,Employed,49.44,4,4.27,Traditional,Male
South,Employed,11.37,1,3.8,Atheist,Female
South,Self Employed,16.56,1,3.79,Islam,Male
East,Unemployed,29.73,1,3.3,Christianity,Female
South,Self Employed,33.36,2,2.81,Islam,Male
West,Employed,25.47,1,2.8,Traditional,Male
East,Self Employed,48.09,1,2.58,Christianity,Female
West,Unemployed,46.5,2,2.47,Christianity,Male
South,Self Employed,8.37,1,2.14,Atheist,Female
West,Unemployed,10.92,1,2.05,Christianity,Male
East,Self Employed,58.8,8,1.98,Christianity,Male
West,Employed,50.76,2,1.97,Christianity,Female
West,Self Employed,13.29,1,1.93,Traditional,Male
West,Unemployed,29.49,1,1.91,Christianity,Female
West,Unemployed,29.37,1,1.91,Christianity,Male
East,Unemployed,143.34,2,1.88,Christianity,Male
East,Self Employed,10.41,1,1.74,Christianity,Female
West,Employed,5.04,1,1.71,Traditional,Male
West,Employed,264.96,2,1.64,Christianity,Female
South,Self Employed,13.59,1,1.29,Islam,Male
West,Self Employed,43.05,1,1.28,Christianity,Male
East,Self Employed,22.86,2,1.28,Islam,Female
West,Unemployed,16.71,1,1.1,Christianity,Male
West,Self Employed,1111.56,4,162.67,Traditional,Female
East,Unemployed,459.24,4,71.81,Islam,Male
West,Self Employed,260.49,1,24.2,Traditional,Male
North,Employed,63.84,4,11.02,Christianity,Female
West,Self Employed,103.92,2,10.87,Traditional,Male
East,Unemployed,61.71,1,10.8,Islam,Female
North,Self Employed,319.77,1,9.19,Christianity,Male
North,Self Employed,109.92,2,9.1,Christianity,Male
East,Unemployed,41.16,2,8.44,Islam,Female
East,Unemployed,54.66,1,8.37,Islam,Male
North,Self Employed,71.1,6,8.31,Christianity,Female
East,Unemployed,44.7,1,8.3,Islam,Male
North,Employed,60.96,2,7.42,Christianity,Male
West,Self Employed,46.32,1,3.94,Islam,Female
North,Self Employed,16.5,1,1.79,Christianity,Male
North,Employed,29.49,1,1.67,Christianity,Female
West,Unemployed,17.52,1,1.4,Christianity,Male
West,Self Employed,18.06,2,1.2,Islam,Male
North,Self Employed,11.31,1,1.19,Christianity,Female
North,Employed,19.2,4,1.08,Christianity,Male
North,Employed,147.3,1,50.56,Atheist,Female
West,Employed,92.16,4,6.25,Christianity,Male
West,Self Employed,874.68,2,54.12,Christianity,Male
West,Self Employed,599.28,4,43.54,Christianity,Female
West,Self Employed,109.32,4,7.31,Christianity,Male
West,Unemployed,41.28,4,6.07,Islam,Female
West,Self Employed,26.67,1,3.62,Christianity,Male
West,Employed,35.97,1,2.83,Christianity,Male
West,Self Employed,18.66,1,2.05,Christianity,Female
West,Self Employed,27.45,1,1.85,Christianity,Male
West,Self Employed,110.1,1,7.95,Christianity,Female
North,Unemployed,39.96,2,6.3,Islam,Male
West,Unemployed,581.04,12,35.32,Christianity,Male
North,Self Employed,24.72,1,4.29,Islam,Female
West,Unemployed,26.22,2,2.41,Christianity,Male
East,Unemployed,151.83,1,41.85,Atheist,Female
West,Self Employed,408.3,2,35.46,Christianity,Male
East,Employed,308.64,1,31.41,Christianity,Male
West,Self Employed,198.09,1,12.63,Christianity,Female
West,Self Employed,234.3,2,11.5,Christianity,Male
East,Unemployed,39.39,1,10.58,Atheist,Female
West,Self Employed,57.48,4,4.22,Christianity,Male
West,Employed,54.9,2,3.48,Christianity,Male
West,Self Employed,58.74,2,3.04,Christianity,Female
West,Employed,31.95,1,2.4,Christianity,Male
West,Self Employed,25.23,1,1.66,Christianity,Female
East,Employed,4.8,1,1.31,Christianity,Male
North,Self Employed,146.76,1,17.73,Islam,Male
East,Self Employed,78.96,4,4.37,Islam,Female
East,Self Employed,12.36,1,2.96,Islam,Male
West,Self Employed,26.37,1,1.19,Christianity,Female
West,Unemployed,818.28,6,24.26,Christianity,Male
West,Employed,196.98,1,15.66,Christianity,Male
West,Unemployed,100.2,4,9.77,Christianity,Female
West,Employed,38.52,1,2.67,Christianity,Male
West,Employed,27.24,2,1.97,Christianity,Female
West,Employed,44.43,1,1.5,Christianity,Male
West,Employed,4.89,1,1.35,Christianity,Male
West,Employed,23.79,1,1.24,Christianity,Female
West,Self Employed,1908.72,6,169.7,Islam,Male
North,Self Employed,874.68,2,78.7,Atheist,Female
North,Self Employed,293.85,1,70.93,Atheist,Male
West,Employed,314.22,1,18.61,Christianity,Male
North,Self Employed,47.64,1,13.85,Atheist,Female
North,Self Employed,27.12,2,6.8,Atheist,Male
North,Self Employed,17.49,1,4.23,Atheist,Female
North,Self Employed,105.18,2,3.66,Atheist,Male
West,Self Employed,23.52,1,2.69,Islam,Male
East,Employed,35.76,2,1.41,Christianity,Female
West,Employed,16.53,1,1.3,Christianity,Male
North,Self Employed,435.99,1,70.02,Islam,Female
West,Self Employed,199.08,4,15.17,Christianity,Male
West,Self Employed,163.62,1,2.62,Christianity,Male
East,Self Employed,122.88,4,19.74,Islam,Female
West,Self Employed,123.42,2,20.27,Islam,Male
West,Unemployed,166.83,1,10.35,Christianity,Female
West,Self Employed,130.32,12,9.15,Islam,Male
West,Self Employed,19.35,1,2.75,Islam,Male
West,Self Employed,1008,8,122.39,Islam,Female
West,Unemployed,1515.24,4,98.08,Christianity,Male
East,Employed,824.28,2,90.77,Christianity,Female
East,Employed,589.32,12,59.19,Christianity,Male
West,Unemployed,209.76,2,34.8,Islam,Male
East,Employed,314.1,1,33.55,Christianity,Female
East,Unemployed,481.68,2,25.79,Christianity,Male
East,Employed,321.84,4,22.95,Christianity,Female
North,Self Employed,246.21,1,21.52,Christianity,Male
West,Unemployed,163.56,2,16.64,Christianity,Male
West,Self Employed,433.92,8,15.37,Christianity,Female
East,Employed,109.44,8,13.8,Christianity,Male
West,Unemployed,67.98,1,13.22,Islam,Female
North,Employed,63.24,2,12.98,Islam,Male
North,Employed,48.6,1,10.94,Islam,Male
West,Employed,110.7,2,8.47,Christianity,Female
West,Employed,90.96,8,7.47,Christianity,Male
East,Employed,46.38,1,6.13,Christianity,Female
East,Employed,54.69,1,5.89,Christianity,Male
West,Unemployed,56.76,2,5.43,Islam,Male
West,Unemployed,92.88,6,4.95,Christianity,Female
East,Employed,38.04,1,4.86,Christianity,Male
West,Unemployed,31.17,1,4.21,Islam,Female
East,Employed,50.13,1,4.08,Christianity,Male
West,Self Employed,63,4,3.98,Christianity,Male
West,Self Employed,55.44,4,3.98,Christianity,Female
West,Unemployed,19.68,1,3.09,Islam,Male
West,Unemployed,56.76,2,2.77,Islam,Female
North,Self Employed,32.1,2,2.75,Christianity,Male
East,Self Employed,15.84,1,2.41,Christianity,Male
West,Unemployed,13.26,1,2.06,Islam,Female
West,Self Employed,13.32,1,1.88,Christianity,Male
North,Self Employed,24.96,2,1.87,Islam,Female
West,Employed,19.08,4,1.8,Christianity,Male
West,Self Employed,14.97,1,1.52,Christianity,Male
West,Unemployed,22.29,1,1.37,Christianity,Female
East,Employed,17.88,1,1.36,Christianity,Male
West,Self Employed,1052.16,2,147.79,Islam,Female
North,Employed,1589.4,6,102.07,Christianity,Male
West,Self Employed,516,4,46.75,Islam,Male
West,Self Employed,163.98,6,26.6,Islam,Female
West,Unemployed,118.8,4,8.11,Christianity,Male
West,Self Employed,21.3,2,2.4,Islam,Female
West,Self Employed,17.61,1,2.28,Islam,Male
West,Unemployed,16.89,1,1.77,Christianity,Male
West,Self Employed,10.77,1,1.23,Islam,Female
West,Unemployed,17.55,1,1.07,Christianity,Male
East,Unemployed,519.33,1,25.75,Christianity,Female
East,Unemployed,49.86,1,5.84,Christianity,Male
West,Self Employed,241.8,2,18.15,Christianity,Male
West,Self Employed,229.56,4,8.81,Christianity,Female
West,Employed,128.52,4,5.93,Christianity,Male
West,Employed,13.32,2,1.78,Christianity,Female
West,Employed,11.4,2,1.58,Christianity,Male
West,Self Employed,10.32,1,1.54,Christianity,Male
West,Self Employed,96.96,2,16.76,Islam,Female
West,Self Employed,172.53,1,16.25,Islam,Male
West,Unemployed,391.68,4,4.39,Christianity,Female
West,Unemployed,16.53,1,1.8,Christianity,Male
East,Self Employed,189.69,1,26.8,Atheist,Male
East,Self Employed,8.52,1,1.74,Atheist,Female
East,Employed,58.44,2,17.18,Atheist,Male
East,Employed,26.28,2,8.57,Atheist,Female
West,Self Employed,2478.6,6,349.87,Islam,Male
West,Self Employed,1466.88,8,85.35,Christianity,Male
West,Self Employed,1480.68,12,70.97,Christianity,Female
West,Unemployed,210.69,1,34.31,Islam,Male
West,Unemployed,152.04,14,18.74,Islam,Female
West,Unemployed,169.2,1,12.3,Islam,Male
South,Employed,30.36,2,3.63,Islam,Male
West,Self Employed,34.92,2,3.3,Christianity,Female
West,Self Employed,26.1,1,3.12,Christianity,Male
West,Self Employed,28.38,2,2.31,Christianity,Female
West,Employed,4.8,1,1.37,Christianity,Male
West,Self Employed,254.94,2,22.91,Christianity,Male
West,Self Employed,239.04,1,21.03,Christianity,Female
West,Self Employed,207.33,1,12.76,Christianity,Male
West,Self Employed,47.4,1,4.58,Christianity,Female
West,Self Employed,28.26,2,3.71,Christianity,Male
West,Self Employed,52.86,2,2.85,Christianity,Male
West,Self Employed,55.92,2,2.24,Christianity,Female
East,Unemployed,668.4,4,61.64,Christianity,Male
West,Self Employed,227.16,12,47.97,Islam,Female
West,Self Employed,263.73,1,29.39,Christianity,Male
West,Self Employed,532.8,4,20.23,Christianity,Male
East,Self Employed,110.16,6,19.11,Islam,Female
West,Self Employed,298.62,6,18.65,Christianity,Male
West,Employed,182.37,1,14.55,Christianity,Female
East,Unemployed,102.48,1,11.36,Christianity,Male
West,Self Employed,107.28,12,8.18,Islam,Male
West,Self Employed,40.26,2,6.91,Islam,Female
West,Self Employed,61.38,2,5.31,Islam,Male
West,Self Employed,54.18,2,4.29,Christianity,Female
West,Self Employed,65.13,1,3.94,Islam,Male
East,Self Employed,34.32,4,3.59,Islam,Male
West,Self Employed,38.58,2,3.11,Christianity,Female
West,Unemployed,29.4,4,2.52,Christianity,Male
West,Self Employed,40.98,1,2.06,Islam,Female
West,Self Employed,14.55,1,1.97,Islam,Male
East,Unemployed,166.89,1,1.95,Christianity,Male
West,Employed,13.98,1,1.85,Christianity,Female
West,Self Employed,652.68,1,52.38,Christianity,Male
West,Unemployed,985.68,4,125.89,Islam,Female
East,Self Employed,704.76,4,100.51,Islam,Male
West,Self Employed,1877.16,4,95.8,Traditional,Male
North,Self Employed,848.4,4,91,Christianity,Female
South,Unemployed,825.36,2,88.97,Islam,Male
East,Self Employed,828.06,2,87.64,Christianity,Female
West,Self Employed,795.6,4,56.09,Christianity,Male
East,Employed,206.4,1,53.08,Atheist,Male
West,Self Employed,244.74,2,51.57,Islam,Female
East,Employed,275.58,2,44.92,Islam,Male
West,Employed,402.96,8,41.24,Islam,Female
West,Self Employed,328.14,6,37.24,Traditional,Male
West,Self Employed,274.68,2,33.4,Traditional,Male
East,Self Employed,346.92,2,32.39,Islam,Female
South,Self Employed,636.15,1,31.59,Islam,Male
North,Employed,147.3,1,30.2,Christianity,Female
West,Unemployed,440.88,4,28.57,Islam,Male
West,Self Employed,193.68,4,25.43,Islam,Male
West,Self Employed,318.09,1,23.93,Christianity,Female
West,Employed,299.58,1,21.56,Christianity,Male
East,Unemployed,168.81,1,19.46,Christianity,Female
West,Employed,166.89,1,18.22,Islam,Male
West,Employed,166.68,1,17.42,Islam,Male
West,Self Employed,568.32,4,15.8,Christianity,Female
West,Employed,145.8,4,15.52,Islam,Male
